;sexe;prenom;index;nombre
842;2;AINHARA;6517;6
843;2;DEBORA;2229;6
844;2;DALIA;7546;6
845;2;HABIBA;7558;6
846;2;CLARA MARIA;7545;6
847;2;MIREN JOSUNE;2254;6
848;2;SHELLEY;3485;6
849;2;ARACELI;2222;6
850;2;OHIANA;4562;6
851;2;IRIDE;3468;6
852;2;JAQUELINE;3470;6
853;2;YAIRA;3488;6
854;2;RIHAM;7579;6
855;2;FIRDAWS;7556;6
856;2;MARIA LUCIA;4557;6
857;2;ROSA MARIA;2259;6
858;2;ROSARIO;2260;6
859;2;GENEVA;2235;6
860;2;LETIZIA;6542;6
861;2;ASIL;7541;6
862;2;OLARIZU;473;6
863;2;ASMAE;7542;6
864;2;GETARI;3462;6
865;2;JOSEBE;2241;6
866;2;ASSIA;7543;6
867;2;IRUÑA;7562;6
868;2;LLUNA;5492;6
869;2;ATHENEA;7544;6
870;2;ATSEGIÑE;2225;6
871;2;LOIOLA;2246;6
872;2;ESTIBALITZ;2232;6
873;2;MARIAMA;3477;6
874;2;YASSMIN;7586;6
875;2;ENMA;7552;6
876;2;NAYADE;3479;6
877;2;ADAMA;3491;5
878;2;ZURIA;3557;5
879;2;ZORIONE;2324;5
880;2;IRURI;3525;5
881;2;HODA;7620;5
882;2;IBTISSAM;7621;5
883;2;JOHANA;4587;5
884;2;IDARA;5540;5
885;2;YAMILET;3555;5
886;2;YANAY;2322;5
887;2;AGATHA;7593;5
888;2;ADUNA;3493;5
889;2;YISELA;7660;5
890;2;YLENIA;7661;5
891;2;JIAHUI;2292;5
892;2;INDHIRA;3524;5
893;2;AITANE;3496;5
894;2;IHARTE;2286;5
895;2;ZAHARA;7662;5
896;2;IVONNE;2289;5
897;2;AIRA;3495;5
898;2;ADELINA;7591;5
899;2;ZAYNAB;7663;5
900;2;ZAYRA;6602;5
901;2;HELEN;3521;5
902;2;MARIA EUGENIA;6586;5
903;2;JULIANA;2294;5
904;2;FABIOLA;2282;5
905;2;CHENOA;4576;5
906;2;CHAIMAA;7610;5
907;2;LUKE;3536;5
908;2;BOUCHRA;1172;5
909;2;NAJWA;2311;5
910;2;BLANCA MARIA;6566;5
911;2;BIHOTZ;3506;5
912;2;NAWAL;3545;5
913;2;LUCIANA;3535;5
914;2;NAZARETH;2312;5
915;2;AZIZA;3504;5
916;2;AYSHA;3503;5
917;2;LORETO;6581;5
918;2;NIHAD;1194;5
919;2;AVRIL;7607;5
920;2;NADINE;2310;5
921;2;CINTIA;2277;5
922;2;MUSKILDA;6589;5
923;2;DEBORAH;2280;5
924;2;DOUNIA;7614;5
